협력대학기관,연도,분야,연구ID,제목,참여학생,소속고등학교,지도교사,지도교수,연구요약,주제어
DGIST,2024,융합,지_8_융합_67,드론 기반 시각장애인의 위험 감지 시스템 연구,김준수･김택윤･안현우,충북과학고등학교,이민혁,임용섭,"본 연구는 시각장애인의 안전 강화를 위해 드론과 인공지능 기반 객체 인식 기술을 활용한 위험 감지 시스템을 개발하였다. PixHa wk 4 기반의 드론에 Raspberry Pi와 카메라를 장착하여 시각 장애인의 주변 환경을 실시간으로 모니터링하고, YOLO 모델을 통해 사람 이외의 물체를 감지하 고음을 발생시켜 시각장애인에게 접근 위험을 알린다. 본 시스템은 물체와 시각장애인 간의 거리 와 접근 속도를 기반으로 경고음의 주파수와 지속 시간을 조정하여 실제 위험 상황에서만 효과적","드론 보조 기술, YOLO 모델, 블루투스 경고 시스템, 시각장애인 위험 감지"
DGIST,2025,물리,지정_물리_05,분자동력학 시뮬레이션을 활용한 전해질 속 이온들의 유동성 탐구,"전해질 내 이온 유동성은 배터리 및 전기화학 장치 성능을 좌우하는 핵심 요소이나, 기존 실험",대구과학고등학교,이형준,최승호,"(EIS 등)만으로는 이온 용매화, 이온쌍, 계면 거동과 같은 미시적 현상을 정량적으로 분리 및 해석 하는 데 한계가 명확하다. 본 연구는 이러한 문제 인식을 바탕으로 GROMACS기반 분자동력학 MD 시뮬레이션을 수행, 다양한 조성의 Li+ - FSI- 전해질을 모델링하고 미시적 지표를 도출 형성이 촉진되었고, 이로인해 MSD 기울기가 감소하며 Li 확산계수는 낮아지는 경향을 보였다. 통한 정량적 이동성 분석 체계를 구축하여, 미시적 관점에서 전해질 조성과 유동성의 상관관계를","분자동력학, 이온유동성, LiFSI전해질, RDF, MSD"
DGIST,2025,융합,지정_융합_42,,"본 연구는 외부 상부 카메라를 이용하여 RC카의 위치와 방향을 실시간으로 인식하고, 중앙 컴퓨터",대구과학고등학교,김동균,임용섭,"템을 구현하였다. 영상 좌표를 실제 거리 단위로 변환하기 위해 호모그래피 변환을 적용하였으며, 차량 상단의 두 개의 색상 마커를 통해 안정적인 위치와 방향을 추정하였다. 또한 일방통행 조건 을 고려한 A* 알고리즘과 가짜 목적지(Fake Goal) 전략을 도입하여 주행 방향성을 보장하였고, 동적 장애물 감지를 통해 회피(Evasion) 및 우회(Re-planning) 로직을 수행하였다. 연구 결과, 주행 제어가 가능함을 확인하였다.","자율주행, 위성 시점, 중앙 관제, A* 알고리즘, 동적 장애물 회피"
DGIST,2025,융합,지정_융합_44,자율주행 RC카를 활용한 단일 카메라 기반 알고리즘 개발 및 가중치 최적화,"최근 자율주행 기술은 다중 센서 융합을 통한 고도화가 이루어지고 있으나, 저비용 플랫폼에서는",대구과학고등학교,정재환,임용섭,"고리즘을 개발하였다. 이 알고리즘은 ‘차선 방향각’ 기반 조향과 ‘무게중심 오차’ 기반 조향이라는 중점적으로 분석하였다. 연구를 위해 카메라 입력 영상을 OpenCV로 처리하여 차선 중심 좌표와 기울기를 검출하였고, 알고리즘의 융합 가중치를 변화시켜가며 모터 속도, 차선 중심 편차, 차선 기울기, 스티어링 값 등의 데이터를 수집하였다. 실험 결과, 융합 가중치의 크기에 따라 차선 이탈 시 경로에 복귀하는 반응 패턴과 안정화 시간이 달라짐을 확인하였다. 이는 단일 영상 기반 시스","자율주행, 주행 안정성, 라인트레이싱, 무게중심 오차, 조향 가중치"
DGIST,2025,융합,지정_융합_86,,"실험을 수행한 결과, 차선 인지와 제어 명령이 정상적으로 작동함을 확인하였으며, 이를 통해 향후",전북과학고등학교,황지영,임용섭,"본 연구는 RC-Car 기반 플랫폼을 활용하여 자율주행의 핵심 요소인 환경 인지와 제어 알고리즘을 알고리즘을 구축하고, OpenCV 기반 전처리와 확률적 허프 변환을 이용해 차선 유형과 중심 오프셋을 계산하였다. 또한 PID 제어기를 적용해 조향각과 속도를 안정적으로 조절함으로써, 직선과 곡선 구간 모두에서 주행 안정성을 확보하였다. 실제 RC-Car에 알고리즘을 적용해 주행 다양한 AI·딥러닝 기반 자율주행 기술을 확장 적용할 수 있는 기초 토대를 마련하였다.","자율주행 알고리즘, 영상 기반 차선 인식, PID 제어, RC-Car 플랫폼, AI 자율주행 기초"
GIST,2024,화학,자_3_화학_19,프러시안 블루 유사체 MOF의 수계 내 CO₂,"블루 유사체를 기반으로 한 금속-유기 골격체를 합성하고, 대기 중, 수계 내에서 CO₂ 흡착 성능",경산과학고등학교,이황기,김태영,"본 연구에서는 해양 생태계에 심각한 위협이 되는 해양 산성화 문제를 해결하기 위해 프러시안 을 평가하였다. 기존 PBA의 수중안정성 문제를 해결하기 위해 AA 개질된 다공성 물질을 지지체 로 사용하였다. PBA의 특성은 UV-Vis와 XRF, FT-IR 분석을 통해 확인되었다. CO₂ 흡착능은 대기 및 수계 내 환경에서 CO₂ 농도 센서와 전기 전도도 센서를 통해 각각 정량하였다. AA 개 질시 더욱더 높은 수중안정성을 가지며, 대기 중에서 표면 개질된 황토 지지체 흡착제가 가장 높","MOF(Metal-Organic Framework),  PBA(Prussian Blue Analogue),  이산화탄소"
GIST,2024,화학,지_3_화학_86,,우신영･홍정우･김영진･이진우,대전동신과학고등학교,하서영,김현우,"최근 몇 년간 에너지 저장 시스템에 대한 관심과 수요가 급증하면서 리튬 이온 배터리(LIB)에 대 한 연구가 활발히 이루어지고 있다. 이차전지는 높은 에너지 밀도와 긴 수명으로 인해 휴대용 전 자기기, 전기 자동차 등에 널리 사용된다. 그러나 성능과 안전성, 수명을 최적화하는 것은 여전히 도전 과제이다. 본 연구는 이차 전지 소재의 성능을 예측하기 위한 머신 러닝 모델을 개발하고자 터와 머신 러닝 기법을 결합하여 새로운 소재 개발의 효율성을 높이고 예측 정확성을 향상시키는","2차 전지, 인공지능, 소재, 딥러닝"
GIST,2024,화학,지_3_화학_87,분자 용해도 예측 기계학습 모델 개발,조혜인･박민서,세종과학예술영재학교,하승현,김현우,"약물 용해도는 신약 설계 초기 단계에서 반드시 평가해야 하는 중요한 물리화학적 특성이다. 하 측 성능을 비교 분석하였다. 연구 결과 , GeDML(Generalized Deep Metric Learning)을  도 입 하여 소규모 데이터 환경에서도 높은 예측 성능을 달성하였다. 본 연구에서 개발한 모델은 제약","그래프 신경망, 용해도 예측, 딥러닝, Generalized Deep Metric Learning (Ge DML)"
GIST,2024,화학,지_3_화학_88,습식방법과 나노입자를 이용한 카이랄 분자,구동준･곽도윤･이현규･최준서,전남과학고등학교,성제록,방윤수,본 연구는 나노입자들을 합성하고 이를 표지물질을 활용하여 카이랄 분자를 높은 민감도로 선택 적으로 검출할 수 있는 센서를 제작하는 것을 목표로 한다 . 나노입자를 합성하고 페닐알라닌을 룰로스 나노 결정과 같은 차세대 친환경 소재를 활용한 분야에서 분자의 카이랄성을 감지하는 기 술이 많이 연구되고 있다 . 친환경 소재를 활용하여 빛과의 상호작용을 극대화하는 방식이 진행되,"거울상 이성질체, 카이랄 분자, 표지물질, SERS 분광법"
GIST,2024,지구과학,자_5_지구과학_12,광물 침전 미생물의 강 오염수 정화 능력,박강민･이영선･조하은,경남과학고등학교,정태준,황희정,"본 연구는 미생물과 탄산칼슘을 활용하여 강물 내 오염물질의 제거 효율을 평가하는 것을 목적으로 질을 완전히 제거하지 못하는 한계를 가진다. 본 연구에서는 특정 미생물을 이용해 탄산칼슘을 침전시키고, 이를 통해 오염물질을 물리적으로 제거하는 방법을 탐구한다. 실험은 미생물의 정화 기술의 실용성을 검토한다. 이 연구는 비용 효율적이고 환경 친화적인 수질 정화 방법을 제시함","주수질 정화, 미생물 기반 정화, 탄산칼슘 침전, 오염물질 제거, XRD"
GIST,2025,정보,지정_공학_09,산화물 멤리스터 제작 및 특성 평가를 통한,"본 연구는 차세대 인공지능 하드웨어로 주목받는 멤리스터를 제작하고, 시냅틱 기능 모사 가능성을",대구일과학고등학교,,이상한,"평가하는 것을 목표로 한다. 스퍼터링을 통해 Co 3O4 박막을 증착하고, 마랑고니 효과를 이용해 자기조립된 단결정 나노 크리스탈을 seed laye r로 형성하여 에피택셜 박막 성장을 유도하였다. Pt 전극을 이용한 전기적 특성 분석 결과, 에피택셜 박막 기반 멤리스터는 균일한 산소 공공","멤리스터, 산화 코발트 박막, 마랑고니 효과, 전극패터닝, 지능형 반도체"
GIST,2025,정보,지정_공학_10,,"한 두께로 형성되었으며, 박막의 두께와 결정성이 광흡수 및 전기화학적 성능에 미치는 영향을",대전동신과학고등학교,박동성,이상한,전기 촉매로 적용하여 광전기화학(PEC) 성능을 비교한다.  박막은 스핀코팅을 통해 다양 분석한다. 이후 NiFe 촉매를 전극 표면에 증착하여 수소 발생 반응의 효율을 향상시키고자 한다. 을 크게 향상시킴을 탐구한다. 본 연구는 고효율 광전극 설계에 있어 소재 조합과 구조 최적화의,"그린수소, PEC 수소 생산 기술, 촉매 코팅"
GIST,2025,정보,지정_공학_28,광촉매를 사용한 물분해 반응에서의 조촉매,권미진·김민율·박예찬·엄지우·임채원,대구과학고등학교,하태진,김봉중,"수소 연료는 대표적인 친환경 에너지원으로, 물의 전기분해 반응을 통한 수소 생산이 주목받고 된다. 본 연구에서는 BiVO₄를 광촉매로, Co₃O₄를 조촉매로 적용하고 몰농도 변화에 따른 전기 화학적 특성을 분석하였다. LSV, ABPE, EIS, 안정성 측정 결과, Co₃O₄ 농도가 과소하면 촉매 효과가 부족하고, 과다하면 광 흡수를 방해하여 성능이 저하되었다. 특히 0.03 M Co₃O₄에서 가장 높은 광전류 밀도와 효율, 낮은 onset potential과 전하 전달 저항이 확인되었다. 이는 조","광촉매, 조촉매, 전기 분해, PEC 셀, sol-gel 스핀 코팅"
GIST,2025,융합,지정_융합_12,나이오븀 도핑으로 전기전도도를 높이 TiO 2 담지체에 루테늄을 담지한 양이온 교환막,"생산하는 방법은 주로 수전해를 사용하며, 그중 양이온 교환막 수전해(PEMWE)가 다른 수전해",전남과학고등학교,김창진,박찬호,TiO2의 낮은 전기 전도성으로 인해 이를 개선할 필요성이 있다. 따라서 이 탐구에서는 문제 해결 방법으로 나이오븀을 지지체에 도핑하여 전기전도성과 촉매 안전성을 높이고 이리듐을 루테늄으로 대체하는 것을 제시한다. 실험은 나이오븀이 도핑되지 않은 대조군과 각각 나이오븀 도핑량이,"그린 수소, PEMWE, 산화극 촉매, Nb 도핑"
GIST,2025,융합,지정_융합_24,수전해용 담지 촉매의 합성 및 특성 연구,"본 탐구는 친환경적인 그린 수소 자원 개발의 향상을 위하여 진행되었으며, 이를 위한 목적으로",대전동신과학고등학교,김해수,박찬호,"수 전해에 사용 가능한 담지 촉매의 성능 향상을 목표로 삼았습니다. 또한 부촉매의 개발로 기존의 촉매를 개선 시키는 방향으로써 연구를 진행하였고, 이를 위하여 다양한 부촉매 재룔를 탐색 및","수전해, 친환경, 청정에너지, 촉매"
KAIST,2024,수학,지_1_수학_61,,김지호･김태현･배상훈･이신후･정준섭,강원과학고등학교,심관수,송익호,"뇌전도(EEG)는 뇌의 전기적 활동을 실시간으로 기록할 수 있는 도구로, 정신 질환 진단과 수면 연구 등에 활용되지만 신호 분석의 복잡성과 낮은 정확도가 문제로 지적된다. 본 연구는 디랙 델타 개선하고자 하며, 푸리에 변환과 이산 푸리에 변환을 함께 사용하여 EEG 신호 분석의 정밀도와 효율성을 높이는 방법을 제시하였다.","디랙 델타 함수, 데이터 보간, 비균일 샘플링, EEG, ICA"
KAIST,2024,수학,지_1_수학_64,열대 대수학의 이론과 응용에 대한 다각적,조은호･박세영･윤태혁,대구과학고등학교,최재혁,한상근,"본 연구는 열대 대수학의 기본 개념과 응용을 탐구하고, 이를 바탕으로 다양한 응용 분야에서의 최적화 이론, 그래프 이론, 신경망 등 여러 분야에서 유용한 수학적 틀을 제공한다. 본 연구에서는 문제의 해결에 관한 방향성을 제시하고자 한다.","열대 대수학, 그래프, 단순화, 해시 알고리즘"
KAIST,2024,수학,지_1_수학_70,충격함수의 뜻매김,"함수, 극한, 미분 개념을 활용한 계단함수와",충남과학고등학교,정종원,송익호,"이 연구에서는 집합과 함수의 개념을 바탕으로 계단함수와 충격함수를 탐구하였다. 집합의 기본 법칙과 특성을 분석하고 이를 응용한 여러 성질을 증명하였다. 셀 수 없는 집합과 셀 수 있는 집합의 개념을 정리하였고, 이에 대한 유리수와 무리수의 조밀성을 증명하는 활동을 수행하였다. 또한, 정의역, 공역, 치역과 같은 함수의 기초적인 구성 요소를 다루고, 단사함수와 전사함수의 개념을 통해 함수의 성질을 심화하였다. 함수의 연속성과 불연속성에 대한 탐구에서는 고른 연속","계단함수, 연속, 집합, 충격함수, 함수"
KAIST,2025,수학,지정_수학_03,충격함수를 활용한 인공지진 전파 모델링,정선민 · 정호준,세종과학예술영재학교,강향임,송익호,"이 연구에서는 충격함수와 계단함수를 기반으로 한 수학적 모형을 활용하여 인공지진의 전파 양상을 분석하였다. 충격함수는 순간적인 외력의 작용을 나타내는 데에 활용되었으며, 계단함수는 신호의 시작을 알리는 데 사용되었다. 이때, 파동 방정식의 그린함수를 이용한 해법을 통해 1차원 및 2차원에서 지진파 전파를 수식화하였고, 모의실험 도구 매트랩을 활용하여 각 지점에서 지진 파의 세기를 시각화하였다. 또, 이를 응용해 지진파의 진원과 가중치 정보가 주어지면 위험 지역을","충격함수, 계단함수, 그린함수, 인공지진, 수학적 모형화"
POSTECH,2024,수학,자_1_수학_44,,이소윤･서인혁･이준학･김준서,인천과학고등학교,지문선,장진우,"내쉬 균형을 분석한다. 게임 이론은 다수의 이해관계자가 자신의 이익을 극대화하기 위해 전략을 선택하는 과정에서 발생하는 상호작용을 연구하는 학문이다. 본 연구는 특히 평균장 게임 이론을 활용하여 대규모 참가자가 있는 복잡한 시스템에서 최적화 문제를 해결하는 방법을 제안한다. 평균 장 게임 이론은 복잡한 상호작용을 단순화하여 분석하며, 평균장 극한을 통해 참가자 수가 무한대인 상황을 가정하여 시스템의 효율성을 최적화한다.","게임 이론, 평균장 게임 이론, 내쉬 균형, 교통 체증, 편미분방정식"
POSTECH,2024,수학,지_1_수학_62,코로나와 같은 전염병 확산에 대한 수학적,전준서･장준혁･김민찬･장준혁,경북과학고등학교,권동근,정재훈,"코로나와 같은 전염병 상황을 효과적으로 대비하고 해결하기 위해서 이 상황을 예측할 수 있는 모델이 필요하다고 생각을 하였다. 따라서 본 연구는 SIR모델의 기본 이론을 이용하였다. 또한 예측의 정확도를 더 올리기 위해서 사망률과 백신, 재감염률과 같은 변수들을 같이 고려하였다. 처음 SIR모델을 사용했을때에는 미분방정식을 사용하였지만 상수를 추가하는 과정에서 미분방정 식을 그대로 사용하는것에는 무리가 있을것으로 판단해 점화식 형태로 식을 고쳐 좀 더 복잡한","위상 공간, 수학 모델, 다변수 미분방정식, 수치해석, 그래프, 다변수 점화식"
POSTECH,2024,수학,지_1_수학_66,가짜뉴스 전파 과정 분석을 위한 SIR 모델,채재현･김대훈･김시준･양동민･이준현,대구과학고등학교,박진환,정재훈,"본 연구는 전염병 확산을 설명하는 SIR 모델을 가짜뉴스 전파 분석에 적용하여, 가짜뉴스가 어떻게 퍼져나가고 특정 시간 동안 얼마나 많은 사람들이 노출될 수 있는지를 예측하고자 한다. 설문 하였고 새로운 모델을 만들었다. 연구 결과, 가짜뉴스의 확산 양상은 초기 조건에 따라 크게 달라 지며, 이를 통해 가짜뉴스 전파를 억제하거나 통제하기 위한 최적의 개입 시점과 방법을 모색할 수 있었다. 이 연구는 가짜뉴스뿐만 아니라 다양한 정보 확산 분석에도 적용 가능하여, 정보 통제","SIR 모델, 가짜뉴스, 정보 확산, 전파율, 회복률"
POSTECH,2024,수학,지_1_수학_67,데이터의 기하학 및 위상적인 분석과 인공지능 방법론의 적용,고유주･김도윤･박경도･손정현,전북과학고등학교,박정우,정재훈,"Data Analysis, TDA) 방법론을 탐구하고자 한다. 각각 원, 숫자, 구 및 무작위로 움직이는 네 지능에 접목하여 위상적 특성을 활용한 새로운 데이터 분석 방법을 제시함으로써 인공지능의 데이터 처리 능력을 향상시키고 복잡한 패턴을 보다 효율적으로 탐지 하는 데 기여하고자 한다.","위상적데이터분석 (Topological Dat a Analysis, TDA), 지속성 호몰로지"
POSTECH,2024,화학,자_3_화학_64,탄닌을 이용한 아세트아미노펜 흡착 연구,김기양･김서진･김시윤･김영찬･정서준,인천과학고등학교,민혜리,진경식,"하천에 방류된 폐의약품은 하천을 오염시키고, 여러 생물의 생명 활동을 방해하여 생태계 교란을 유발한다. 본 연구에서는 곡물에서 추출한 탄닌이 카페인이나 중금속 이온의 흡착에 효과적이라는 등의 선행 연구를 바탕으로 탄닌이 폐의약품 성분의 흡착제로 기능할 수 있는지 확인하고자 하였 다. 표적 물질로 탄닌의 작용기와 강한 쌍극자 상호작용을 할 것으로 예상되는 아세트아미도기 (-NHCOCH₃)를 가진 아세트아미노펜을 선정하여 실험을 진행하였다. 수용성 탄닌과 수산화나트","폐의약품, 탄닌, 아세트아미노펜, 분광광도계, FT-IR"
POSTECH,2024,화학,자_3_화학_65,루미놀 반응의 발광 세기를 증폭시킬 수 있는,"최적의 형광 트레이서의 종류, 농도, 온도에",인천과학고등학교,양승원,진경식,"이서 조건을 찾고자 하였다. 기존의 루미놀 반응은 범죄 현장에서 유용하게 사용되지만, 발광세기 는 형광 트레이서의 종류와 농도, 그리고 온도가 발광 세기에 미치는 영향을 조사하였다. 실험 결 과, 플루오레세인 0.001M, 로다민 0.0005M, SDF-1 9배, 요소 0.2M, 퀴닌 0.001M의 농도 에서 최적의 발광 효과가 나타났다. 또한, 0℃에서 45℃까지의 온도 조건을 변화시키며 실험한 결과, 플루오레세인, SDF-1, 요소, 퀴닌은 온도가 높아질수록 발광 효과가 증가하는 반면, 로다","루미놀, 발광 반응, 형광 트레이서, 농도, 온도"
POSTECH,2024,화학,자_3_화학_66,자외선 광주기에 따른 TiO 2 광촉매의 톨루엔,이은결･조정우･양소윤･김범준,인천과학고등학교,이순이,서종철,"톨루엔의 효율적 분해를 위해 광주기에 따른 TiO 2의 톨루엔 분해 효과를 연구하였다. 본 연구에 서는 TiO 2를 Dip-coating하여 사용하였다. 코팅된 유리판과 CO 2, O 2 MBL, 톨루엔 1mL을 투 명밀폐상자에 배치 후 UV를 쬐어주어 조건 충족 시에만 CO 2변화가 유의미하게 나타나는지 확인 장 효과적인 광주기를 도출해냈다. UV와 백색 LED 광주기에서 평균 CO 며, UV와 암실 상태에서는 27.7ppm이라는 것을 확인하였다. 전 조건에서 UV를 차단한 시간이","이산화 타이타늄, 광촉매, 톨루엔, 광주기, VOCs"
POSTECH,2024,정보,자_7_공학_14,,노현우･이성원･박소은,경산과학고등학교,이황기,김영기,"차선에서 재귀반사의 목적을 지니고 도포되지만, 경제성과 지속성 측면에서 문제를 지닌 고휘도 경적인 문제를 지닌 패각과, 고휘도 유리알 이외의 재귀반사 방법인 역반사 패턴을 이용하고자 우는 작업을 통해 역반사 패턴의 문제점을 해결함으로써 결과적으로, 실제 차선에 적용 가능한","패각, 도로 차선, 광도 향상, 재귀반사, 고휘도 유리알"
POSTECH,2024,정보,지_7_공학_42,식물 유래 천연물질을 활용한 의약품 캡슐,류한경･전시현,대구과학고등학교,옥창규,차형준,"광우병에 대한 우려로 제약 원료로 사용되는 동물 유래 원료의 사용에 대한 위험성이 대두되었고 현재 사용되고 있는 젤라틴은 반응성이 높고 여러 반응에 연관되어 있다. 이에 천연물질을 활용한 D-sorbitol, Sodium Carbonate, 그리고 실험에 맞는 전분을 재료로 하여 젤라틴화를 진행했고","캡슐, 식물성, 젤라틴, 칡, HPMC, 천연물질, 임상시험"
POSTECH,2024,정보,지_7_공학_45,돼지 간 유래 탈세포화한 세포외기질을 이용한 파우더형 지혈제 개발,윤찬영･박찬우･곽민준,세종과학고등학교,강희정,차형준,"출혈량이 많은 상황에서는 파우더형 지혈제의 사용이 필요하다. 이번 연구에서는 각광받는 돼지 간, 피부 등의 생체 조직을 사용하여 탈세포화한 세포외기질(decellularized extracellular matr ix, dECM)을 만들어 지혈제로 활용할 수 있는지에 대한 가능성을 알아보고자 하였다. 돼지 간, 피부를 이용하여 탈세포화를 진행하였고, 동결건조하여 펩신을 사용해 녹인 후 다시 동결건조하여 파우더 형으로 제형하였다. HBT(Hemoglobin binding test), TEG test(Thromboelasto graphy test),","세포외기질, 탈세포화, 지혈제, 혈액적합성"
